assay,target_gene,target_group,primer_F,primer_R,process,pathway,rep_id,timepoint,location,treatment,sample,conc,Ct,gwc,pH,block,log_conc
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,51,3,Karama,maize monoculture,436,37682.52535162965,22,0.13,5.85,2,4.57614
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,51,3,Karama,maize monoculture,443,19118.785467734564,23.19,0.13,6.22,3,4.281460299999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,51,3,Karama,maize monoculture,450,48983.49849075355,21.54,0.14,6.31,4,4.6900498
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,5,5,Karama,Brachiaria + Desmodium,642,117767.3763920956,22.05,0.14,5.93,2,5.071025000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,73,1,Karama,Napier grass,230,200291.6295792475,21.83,0.14,5.99,1,5.301662800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,73,1,Karama,Napier grass,237,162203.26802344908,22.31,0.14,6.77,2,5.210059600000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,78,6,Karama,Napier grass,744,42074.503520547485,24.486,0.122065728,6.15,3,4.6240190000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,73,1,Karama,Napier grass,251,346906.7897101375,20.58,0.15,6.49,4,5.540212800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,4,4,Karama,Brachiaria + Desmodium,535,15306.806777417167,23.58,0.117073171,6.09,1,4.1848846
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,79,1,Rubona,Napier grass,202,368918.4709868273,20.44,0.09,5.99,1,5.5669304
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,79,1,Rubona,Napier grass,209,367300.90634183935,20.45,0.07,5.65,2,5.565022000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,79,1,Rubona,Napier grass,216,171738.94868532752,22.18,0.07,5.34,3,5.2348688
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,79,1,Rubona,Napier grass,223,285919.1209908833,21.02,0.06,5.29,4,5.4562432
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,8,2,Rubona,Brachiaria + Desmodium,307,223549.03526885866,21.58,0.11,5.51,1,5.349372800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,8,2,Rubona,Brachiaria + Desmodium,314,20011.08791673065,23.11,0.1,NA,2,4.3012707
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,8,2,Rubona,Brachiaria + Desmodium,321,126820.42375631879,22.87,0.13,5.54,3,5.1031892
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,8,2,Rubona,Brachiaria + Desmodium,328,160783.98930767833,22.33,0.13,5.78,4,5.206242800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,62,2,Karama,Napier + Desmodium,334,280937.4266349165,21.06,0.12,6.34,1,5.448609600000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,62,2,Karama,Napier + Desmodium,341,204740.99050271188,21.78,0.1,6.25,2,5.3112048000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,62,2,Karama,Napier + Desmodium,348,162203.26802344908,22.31,0.13,6.25,3,5.210059600000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,62,2,Karama,Napier + Desmodium,355,79248.38125772911,23.94,0.12,6.11,4,4.898990400000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,82,4,Rubona,Napier grass,509,14791.996656989164,23.64,0.141878669,5.65,2,4.1700268
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,52,4,Karama,maize monoculture,529,11910.428875109723,24.02,0.122789784,5.88,1,4.075927399999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,52,4,Karama,maize monoculture,536,44458.28443032634,21.71,0.118627451,5.85,2,4.647952699999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,52,4,Karama,maize monoculture,543,41282.006700567275,21.84,0.133858268,6.22,3,4.615760799999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,52,4,Karama,maize monoculture,550,27071.642111405912,22.58,0.11770428,6.31,4,4.4325146
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,44,2,Rubona,Maize + Desmodium,326,140307.98898822005,22.64,0.13,5.21,4,5.1470824
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,82,4,Rubona,Napier grass,523,16768.931860409277,23.42,0.143430291,5.29,4,4.224505399999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,15,3,Karama,Brachiaria cv. Mulato II,431,13972.168035004746,23.74,0.13,6.06,1,4.1452637999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,16,4,Karama,Brachiaria cv. Mulato II,531,38772.29424842272,21.95,0.119417476,6.06,1,4.5885215
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,16,4,Karama,Brachiaria cv. Mulato II,538,28497.141575505244,22.49,0.123138034,6.45,2,4.4548013
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,16,4,Karama,Brachiaria cv. Mulato II,545,42475.871667940955,21.79,0.121272366,6.15,3,4.6281422999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,16,4,Karama,Brachiaria cv. Mulato II,552,32676.271811452836,22.25,0.133464181,6.47,4,4.514232499999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,29,5,Karama,Desmodium distortum,632,64037.7257661386,21.07,0.13,6.13,1,4.806435899999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,64,4,Karama,Napier + Desmodium,534,78181.93229940129,20.72,0.105731225,6.34,1,4.8931064
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,64,4,Karama,Napier + Desmodium,541,50688.28529822576,21.48,0.115087041,6.25,2,4.704907599999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,64,4,Karama,Napier + Desmodium,548,80902.92060920657,20.66,0.141453831,6.25,3,4.9079641999999994
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,64,4,Karama,Napier + Desmodium,555,47878.94805657887,21.58,0.125992063,6.11,4,4.6801446
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,57,3,Rubona,maize monoculture,422,16700,29.88,0.15,5.05,4,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,66,6,Karama,Napier + Desmodium,734,85421.06858830953,22.81,0.112701252,6.34,1,4.931565000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,66,6,Karama,Napier + Desmodium,741,99875.73767462387,22.44,0.130314233,6.25,2,4.99946
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,704,76211.4105868882,23.08,0.153782211,5.61,1,4.882020000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,711,140635.51244583607,21.63,0.14571949,5.31,2,5.1480950000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,718,74618.23978685368,23.13,0.182882883,5.34,3,4.872845000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,718,66573.28693784401,23.4,0.182882883,5.34,3,4.823300000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,725,55513.03862236616,23.83,0.140611354,5.22,4,4.744395000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,36,6,Rubona,Desmodium distortum,725,60408.07549223325,23.63,0.140611354,5.22,4,4.7810950000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,23,5,Rubona,Brachiaria cv. Mulato II,617,58121.76578036077,21.24,0.13,5.74,3,4.7643388
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,2,2,Karama,Brachiaria + Desmodium,335,129069.25402722936,22.83,0.13,6.09,1,5.110822800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,2,2,Karama,Brachiaria + Desmodium,342,233591.37334079752,21.48,0.12,5.93,2,5.368456800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,2,2,Karama,Brachiaria + Desmodium,349,234620.09159432334,21.47,0.12,6.29,3,5.370365200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,2,2,Karama,Brachiaria + Desmodium,356,51293.08260224872,24.93,0.14,5.94,4,4.7100588000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,48,6,Rubona,Maize + Desmodium,726,54352.559483175966,23.88,0.174872666,5.21,4,4.735220000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,19,1,Rubona,Brachiaria cv. Mulato II,203,305400.117632623,20.87,0.06,5.65,1,5.4848692
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,19,1,Rubona,Brachiaria cv. Mulato II,210,66474.39601029057,24.34,0.07,5.55,2,4.8226544
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,19,1,Rubona,Brachiaria cv. Mulato II,217,223549.03526885866,21.58,0.06,5.74,3,5.349372800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,19,1,Rubona,Brachiaria cv. Mulato II,224,298763.2671119745,20.92,0.07,5.35,4,5.475327200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,7,1,Rubona,Brachiaria + Desmodium,221,294850.58922345313,20.95,0.06,5.54,3,5.469602
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,7,1,Rubona,Brachiaria + Desmodium,228,185059.59185276582,22.01,0.06,5.78,4,5.2673116
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,31,1,Rubona,Desmodium distortum,211,90813.58072820278,23.63,0.11,5.31,2,4.9581508
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,31,1,Rubona,Desmodium distortum,218,181037.94032866097,22.06,0.05,5.34,3,5.2577696000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,54,6,Karama,maize monoculture,729,45514.523460027085,24.3,0.101754386,5.88,1,4.65815
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,55,1,Rubona,maize monoculture,201,339367.9304400378,20.63,0.09,5.16,1,5.530670800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,55,1,Rubona,maize monoculture,208,292270.6463485863,20.97,0.08,5.45,2,5.465785200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,55,1,Rubona,maize monoculture,215,85395.14887458191,23.77,0.07,5.33,3,4.931433200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,55,1,Rubona,maize monoculture,222,215826.91349401243,21.66,0.08,5.05,4,5.3341056
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,3,3,Karama,Brachiaria + Desmodium,435,6620.1602156003755,25.05,0.15,6.09,1,3.8208684999999996
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,3,3,Karama,Brachiaria + Desmodium,442,7462.2672741567985,24.84,0.14,5.93,2,3.8728707999999994
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,3,3,Karama,Brachiaria + Desmodium,449,79078.60509810099,20.7,0.14,6.29,3,4.898059
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,3,3,Karama,Brachiaria + Desmodium,456,15047.200227309177,23.61,0.13,5.94,4,4.177455699999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,69,3,Rubona,Napier + Desmodium,413,16700,26.85,0.15,5.6,2,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,33,3,Rubona,Desmodium distortum,404,16700,27.42,0.16,5.61,1,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,33,3,Rubona,Desmodium distortum,411,16700,26.77,0.17,5.31,2,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,33,3,Rubona,Desmodium distortum,418,46977.59722063444,25.13,0.17,5.34,3,4.671890800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,33,3,Rubona,Desmodium distortum,425,16700,25.7,0.14,5.22,4,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,60,6,Rubona,maize monoculture,708,48492.547514062455,24.15,0.179063361,5.45,2,4.685675000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,60,6,Rubona,maize monoculture,715,73058.37362163088,23.18,0.167408727,5.33,3,4.863670000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,60,6,Rubona,maize monoculture,722,138278.60831546717,21.67,0.157798165,5.05,4,5.140755
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,11,5,Rubona,Brachiaria + Desmodium,607,64772.177897165384,21.05,0.14,5.51,1,4.8113885
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,11,5,Rubona,Brachiaria + Desmodium,614,47878.94805657887,21.58,0.14,NA,2,4.6801446
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,11,5,Rubona,Brachiaria + Desmodium,621,26612.501565863196,22.61,0.14,5.54,3,4.4250856999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,11,5,Rubona,Brachiaria + Desmodium,628,67795.19277758166,20.97,0.12,5.78,4,4.8311988999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,5,5,Karama,Brachiaria + Desmodium,656,135007.118061126,21.726666666666667,0.13,5.94,4,5.130356666666668
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,63,3,Karama,Napier + Desmodium,434,21922.571742617805,22.95,0.12,6.34,1,4.3408915
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,63,3,Karama,Napier + Desmodium,441,19671.695803567334,23.14,0.13,6.25,2,4.293841799999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,63,3,Karama,Napier + Desmodium,448,38994.00113574136,21.94,0.15,6.25,3,4.590997799999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,63,3,Karama,Napier + Desmodium,455,90159.99936929754,20.47,0.15,6.11,4,4.9550139
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,505,16484.527372093726,23.45,0.135874878,5.39,1,4.217076499999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,512,36208.11366867641,22.07,0.144400786,5.44,2,4.558805899999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,512,157630.40812493028,21.36,0.144400786,5.44,2,5.197640000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,512,87244.89011735348,22.76,0.144400786,5.44,2,4.94074
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,519,40121.697573353034,21.89,0.156650246,5.39,3,4.603379299999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,46,4,Rubona,Maize + Desmodium,526,28823.976829379437,22.47,0.142576205,5.21,4,4.4597539
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,34,4,Rubona,Desmodium distortum,511,59145.26745313018,23.68,0.131868132,5.31,2,4.771920000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,37,1,Karama,Maize + Desmodium,233,224533.5278460034,21.57,0.06,6.16,1,5.351281200000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,37,1,Karama,Maize + Desmodium,240,231547.44865043726,21.5,0.13,5.96,2,5.3646400000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,37,1,Karama,Maize + Desmodium,247,180244.1590606917,22.07,0.15,6.19,3,5.2558612
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,75,3,Karama,Napier grass,430,12826.828852036486,23.89,0.13,5.99,1,4.108119299999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,75,3,Karama,Napier grass,437,27538.704123483316,22.55,0.14,6.77,2,4.439943499999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,25,1,Karama,Desmodium distortum,232,162917.59860942385,22.3,0.11,6.13,1,5.211968000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,25,1,Karama,Desmodium distortum,239,73221.5975343348,24.12,0.12,6.21,2,4.8646392
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,25,1,Karama,Desmodium distortum,253,294850.58922345313,20.95,0.14,6.48,4,5.469602
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,71,5,Rubona,Napier + Desmodium,627,28988.797465012733,22.46,0.12,5.26,4,4.4622302
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,71,5,Rubona,Napier + Desmodium,613,58454.11639376692,21.23,0.13,5.6,2,4.7668151
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,67,1,Rubona,Napier + Desmodium,206,169489.81279384246,22.21,0.07,5.29,1,5.2291436000000004
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,67,1,Rubona,Napier + Desmodium,213,158678.32228283412,22.36,0.06,5.6,2,5.2005176
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,56,2,Rubona,maize monoculture,301,176327.15486901414,22.12,0.13,5.16,1,5.2463192
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,49,1,Karama,maize monoculture,229,156600.2315958993,22.39,0.1,5.88,1,5.194792400000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,56,2,Rubona,maize monoculture,315,82769.32243531394,20.62,0.14,5.33,3,4.917869399999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,56,2,Rubona,maize monoculture,322,126820.42375631879,22.87,0.14,5.05,4,5.1031892
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,81,3,Rubona,Napier grass,409,16700,26.04,0.16,5.65,2,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,53,5,Karama,maize monoculture,629,28660.09330891836,22.48,0.12,5.88,1,4.457277599999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,81,3,Rubona,Napier grass,423,16700,27.51,0.18,5.29,4,4.222716471147583
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,53,5,Karama,maize monoculture,643,113373.09429245544,22.14,0.14,6.22,3,5.0545100000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,53,5,Karama,maize monoculture,650,5716.957978232093,29.21,0.12,6.31,4,3.7571650000000005
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,68,2,Rubona,Napier + Desmodium,306,217732.0692618941,21.64,0.1,5.29,1,5.3379224
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,27,3,Karama,Desmodium distortum,432,28660.09330891836,22.48,0.13,6.13,1,4.457277599999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,27,3,Karama,Desmodium distortum,439,3786.091451838702,26.03,0.12,6.21,2,3.578191099999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,76,4,Karama,Napier grass,530,94367.90202998024,20.39,0.127576055,5.99,1,4.974824299999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,76,4,Karama,Napier grass,537,16578.78883697298,23.44,0.109144543,6.77,2,4.219552799999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,76,4,Karama,Napier grass,544,52752.33648621198,21.41,0.11627907,6.15,3,4.7222417
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,76,4,Karama,Napier grass,551,44458.28443032634,21.71,0.120271581,6.49,4,4.647952699999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,70,4,Rubona,Napier + Desmodium,513,161677.6544518407,21.3,0.138033764,5.6,2,5.2086500000000004
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,70,4,Rubona,Napier + Desmodium,513,15133.242799458301,23.6,0.138033764,5.6,2,4.179931999999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,70,4,Rubona,Napier + Desmodium,513,71531.11587038764,23.23,0.138033764,5.6,2,4.854495
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,70,4,Rubona,Napier + Desmodium,520,38332.65496099963,21.97,0.159883721,5.42,3,4.5835688999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,70,4,Rubona,Napier + Desmodium,527,18794.52698523674,23.22,0.141025641,5.26,4,4.274031399999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,18,6,Karama,Brachiaria cv. Mulato II,745,78831.53805215593,23,0.129502573,6.15,3,4.896700000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,18,6,Karama,Brachiaria cv. Mulato II,752,86510.73463684268,22.78,0.134683099,6.47,4,4.93707
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,732,82931.59153870323,22.88,0.12010919,6.13,1,4.91872
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,732,83282.73903833571,22.87,0.12010919,6.13,1,4.920555
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,739,50585.37804493628,24.05,0.131702728,6.21,2,4.704025000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,746,107313.65826828052,22.27,0.114695341,5.85,3,5.030655
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,753,70332.32916628456,23.27,0.099910794,6.48,4,4.847155000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,4,4,Karama,Brachiaria + Desmodium,556,25729.1239982739,25.65,0.129970902,5.94,4,4.410425000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,30,6,Karama,Desmodium distortum,753,65181.59747828766,23.45,0.099910794,6.48,4,4.814125000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,72,6,Rubona,Napier + Desmodium,713,114819.32780029245,22.11,0.159235669,5.6,2,5.060015000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,47,5,Rubona,Maize + Desmodium,605,64403.904892904044,21.06,0.13,5.39,1,4.8089122
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,47,5,Rubona,Maize + Desmodium,619,21185.255203445227,23.01,0.13,5.39,3,4.326033699999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,77,5,Karama,Napier grass,630,64772.177897165384,21.05,0.15,5.99,1,4.8113885
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,77,5,Karama,Napier grass,644,139452.08116318242,21.65,0.14,6.15,3,5.144425000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,35,5,Rubona,Desmodium distortum,604,38114.708267494614,21.98,0.12,5.61,1,4.581092599999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,35,5,Rubona,Desmodium distortum,611,50400.08861079509,21.49,0.13,5.31,2,4.7024313
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,35,5,Rubona,Desmodium distortum,618,33051.037735426704,22.23,0.15,5.34,3,4.5191851
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,35,5,Rubona,Desmodium distortum,625,61182.25784919998,21.15,0.12,5.22,4,4.7866254999999995
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,44,2,Rubona,Maize + Desmodium,305,200291.6295792475,21.83,0.12,5.39,1,5.301662800000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,44,2,Rubona,Maize + Desmodium,312,32122.075608500985,22.28,0.11,5.44,2,4.506803599999999
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,44,2,Rubona,Maize + Desmodium,319,130782.00765492317,22.8,0.12,5.39,3,5.116548
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,82,4,Rubona,Napier grass,516,74618.23978685368,23.13,0.154455446,5.34,3,4.872845000000001
2,16S,archaea,Archaea-F_KO,Archaea-R_KO,abundance,,65,5,Karama,Napier + Desmodium,648,65457.588262401216,23.44,0.16,6.25,3,4.8159600000000005
